client_id;sessionId;datetime;status;category
2,38E+11;1af2a994-0039-4d92-bb78-c217a50ab82a;04.05.2021;CORRECT;default
2,38E+11;148b3ffb-ee4c-4f5b-9098-436993a0ade0;04.05.2021;CORRECT;default
2,38E+11;84a0ac11-f876-4e16-9b3d-b548f809eb46;16.05.2021;CORRECT;otp-login
2,37E+11;79396f39-b31a-465b-91f6-1c7f2a08dfe8;04.05.2021;CORRECT;operation-name_web
2,37E+11;c624f6cd-54ef-4099-b433-cd80f4071301;04.05.2021;CORRECT;otp-login
2,39E+11;b2dd7717-42d9-4639-88b9-14e03d17a15f;16.05.2021;CORRECT;operation-name_web
2,39E+11;7fb5144e-458f-4556-a624-c2c4b6920b3f;04.05.2021;CORRECT;transfer_card_web
2,38E+11;0526af9f-2b8b-404e-a0f4-38c9f08bd753;04.05.2021;CORRECT;otp-login
2,38E+11;01c2df68-dddc-4e4b-b380-29874c2da50e;16.05.2021;CORRECT;otp-login
2,37E+11;5088390c-2552-41d1-9585-07b07f71807c;04.05.2021;CORRECT;otp-login
2,38E+11;cc44ede8-c563-4c1a-9dbf-4687e26830cb;04.05.2021;CORRECT;operation-name_web
2,39E+11;5dec4511-9e56-4d77-8e05-5f881bec59d1;16.05.2021;CORRECT;otp-login
2,37E+11;053c9373-f617-440a-b41d-8348002411a4;04.05.2021;CORRECT;default
2,38E+11;b55c7bbb-70d9-4043-b1af-98b7604772cc;04.05.2021;CORRECT;otp-login
2,39E+11;b1d2f7a4-f67a-4bcc-8e88-04ba7d752458;16.05.2021;CORRECT;default
2,38E+11;211ee779-0656-4a06-a03d-f01d752c7d93;04.05.2021;CORRECT;otp-login
2,37E+11;c0f52e23-2d3d-443b-9b1f-e0ad1ddb2e71;16.05.2021;CORRECT;otp-login
2,38E+11;f8fb0b85-e525-4fcf-b242-791c35a3c20b;04.05.2021;CORRECT;payment_card_web
2,39E+11;72763a5a-542b-4fc9-bc51-6a99eaa96d56;04.05.2021;CORRECT;otp-login
2,40E+11;94d538de-660d-4fa9-a845-93ad7efa80c0;16.05.2021;CORRECT;otp-login
2,37E+11;b470e31f-58ab-4c6f-8ea8-cc1bd77cae39;04.05.2021;CORRECT;otp-login
2,38E+11;5d5dc8eb-9a45-4ac7-a567-9d2a0bdd2fdf;04.05.2021;CORRECT;transfer-free_acc_web
2,39E+11;b999d32c-658c-4499-a9f7-b18f07cdee64;16.05.2021;CORRECT;otp-login
2,37E+11;4ae40253-7e26-4ca3-8ebc-d8094b03823f;04.05.2021;CORRECT;otp-login
2,37E+11;aa979c7f-1d3d-4495-be3f-59ad3e30d1dc;04.05.2021;CORRECT;otp-login
2,37E+11;8c6563e8-3dca-4e70-ad13-5578f043c2a6;16.05.2021;CORRECT;otp-login
2,38E+11;4a70ba46-9aca-4090-8084-3ba23246548e;04.05.2021;CORRECT;sms-info_off_web
2,39E+11;bfe4e167-ce7e-41cf-9aff-38bbb7a45311;16.05.2021;CORRECT;otp-login
2,37E+11;ab18166a-624e-408f-8cdb-4424f40fdf0a;04.05.2021;CORRECT;otp-login
2,37E+11;c613e8ec-805a-4187-a865-6043094d6a4e;04.05.2021;CORRECT;operation-name_web
2,37E+11;1c2b46a8-8a3c-4d78-8f08-97afa10312ec;16.05.2021;CORRECT;default
2,39E+11;6f5b7e66-c8da-4925-9049-00478c4e3121;04.05.2021;CORRECT;otp-login
2,37E+11;2b2d3d29-d35d-402e-bddd-028113928736;04.05.2021;CORRECT;transfer-p2p_card_web
2,39E+11;93dc3415-88e3-4cae-a5e4-5c53ffd38794;16.05.2021;CORRECT;otp-login
2,38E+11;c1b104ad-05ef-4bfd-9003-6cb09ee4da5c;04.05.2021;CORRECT;default
2,40E+11;545e59fe-788b-4fea-ab20-dbba45c1a4ca;04.05.2021;CORRECT;otp-login
2,38E+11;0227b5e2-6705-4708-9c9b-70fbeee51f24;04.05.2021;CORRECT;otp-login
2,38E+11;10f58d4b-a329-4aba-8511-26ee91dccc84;16.05.2021;CORRECT;operation-name_web
2,39E+11;1a4db417-b9d3-4099-a9ed-50b56698bc98;04.05.2021;CORRECT;otp-login
2,37E+11;f04ed50a-7954-46b1-8905-178ec4be679e;04.05.2021;CORRECT;otp-login
2,39E+11;9048a283-bf20-4212-a7dd-f90a28cf99a8;16.05.2021;CORRECT;default
2,40E+11;0298a6ad-705a-4def-86ba-dbc856d159df;04.05.2021;CORRECT;otp-login
2,39E+11;4f3e0bde-0c7d-41b3-b9a2-e00faa16d8fe;04.05.2021;CORRECT;otp-login
2,38E+11;3539cc3c-7263-4464-a26a-d83206a6e53e;16.05.2021;CORRECT;otp-login
2,39E+11;b3a6613c-98a3-41db-b6db-23bc1c9715b6;04.05.2021;CORRECT;otp-login
