abc;624
abc;227
abc;504
abc;889
abc;513
abc;436
abc;43
abc;857
abc;480
abc;898
abc;225
abc;413
abc;713
abc;805
abc;35
abc;636
abc;48
abc;17
abc;25
abc;359
abc;706
abc;152
abc;844
abc;831
abc;866
abc;300
abc;24
abc;119
abc;67
abc;163
abc;673
abc;236
abc;104
abc;695
abc;674
abc;994
abc;579
abc;268
abc;37
abc;942
abc;143
abc;815
abc;233
abc;245
abc;420
abc;564
abc;367
abc;721
abc;509
abc;938
abc;658
abc;19
abc;741
abc;211
abc;108
abc;538
abc;773
abc;796
abc;33
abc;284
abc;279
abc;400
abc;112
abc;691
abc;573
abc;964
abc;470
abc;784
abc;203
abc;195
abc;60
abc;944
abc;330
abc;831
abc;64
abc;102
abc;388
abc;55
abc;642
abc;864
abc;221
abc;155
abc;862
abc;497
abc;141
abc;698
abc;53
abc;929
abc;822
abc;805
abc;342
abc;332
abc;732
abc;54
abc;834
abc;933
abc;27
abc;126
abc;860
abc;875
abc;79
abc;39
abc;307
abc;145
abc;67
abc;309
abc;203
abc;702
abc;367
abc;504
abc;740
abc;558
abc;114
abc;77
abc;835
abc;267
abc;693
abc;296
abc;367
abc;222
abc;547
abc;959
abc;742
abc;831
abc;245
abc;830
abc;145
abc;3
abc;247
abc;712
abc;815
abc;10
abc;758
abc;657
abc;980
abc;164
abc;79
abc;852
abc;567
abc;58
abc;370
abc;615
abc;286
abc;714
abc;708
abc;309
abc;708
abc;305
abc;343
abc;208
abc;765
abc;603
abc;823
abc;831
abc;382
abc;65
abc;191
abc;24
abc;340
abc;105
abc;957
abc;181
abc;706
abc;774
abc;709
abc;657
abc;412
abc;965
abc;709
abc;747
abc;541
abc;186
abc;120
abc;372
abc;134
abc;664
abc;681
abc;195
abc;610
abc;143
abc;42
abc;923
abc;109
abc;730
abc;828
abc;861
abc;255
abc;517
abc;559
abc;300
abc;366
abc;727
abc;365
abc;165
abc;974
abc;591
abc;670
abc;964
abc;50
abc;421
abc;499
abc;342
abc;712
abc;958
abc;336
abc;75
abc;145
abc;619
abc;777
abc;45
